Timestamp,Extractor,Journal,info_found,policy_location,policy_text1,policy_URL1,policy_text2,policy_URL2,replications_mention,replication_policy_mentions,accept_category_mentions,replication_policy_not,accept_category_not,novelty,novelty_text,novelty_URL,Translation,JIF
04:08.0,MP,biological conservation,Yes,Journal Author instructions/guidelines,"Short communications highlight both novel research and replication studies that report preliminary findings that are particularly compelling and highly relevant to conservation science and practice. If submitting a replication study, please include in your cover letter the rationale for undertaking the study. Short communications should not exceed 4,000 words.",https://www.sciencedirect.com/journal/biological-conservation/publish/guide-for-authors,NA,NA,Yes,Accept with neutral/no position,Special article type,NA,NA,No,NA,NA,NA,4.9
44:40.9,MP,biological invasions,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Novel empirical and theoretical research on topics in invasion biology, such as ecological consequences of invasions (including changes in community and ecosystem structure and processes), factors that influence transport, establishment, and spread of invasions, mechanisms that control the abundance and distribution of invasive species, biogeography, genetics of invaders (as genetics casts light on processes and pathways of invasions), dispersal vectors, evolutionary consequences of invasions in both historical and geological time, innovative management techniques, and analytical syntheses and overviews of invasive biotas. Authors must, in their cover letters, explain how the reported research is novel and exciting.",https://link.springer.com/journal/10530/submission-guidelines,NA,2.8
01:07.2,MP,biological journal of the linnean society,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"The Biological Journal of the Linnean Society is the Linnean Society’s longest standing journal. It publishes novel research of biological significance (up to a maximum of 12,000 words). / We welcome manuscripts of four types: critical reviews of topical and/or contentious areas in evolutionary biology (~9000 words), full original articles reporting the findings of original research (~9000 words), short original articles presenting concise original research (limit 3500 words and normally no more than two figures and two tables), and comments on papers published in the Journal or presenting novel ideas relating to the wider literature (limit 3000 words).",https://academic.oup.com/biolinnean/pages/About / https://academic.oup.com/biolinnean/pages/General_Instructions,NA,2
53:11.0,LC,biology letters,Yes,"Journal Author instructions/guidelines, Accepted article types","The mission of Biology Letters is to publish short, innovative articles from across the biological sciences that will benefit from rapid publication. Through the publication of outstanding and internationally important work (including replication studies), we aim to create a forum that scientists will use to inform their research.",https://royalsocietypublishing.org/rsbl/for-authors#question1,NA,NA,Yes,Accept with neutral/no position,Generally accepts,NA,NA,No,NA,NA,NA,2.8
41:26.9,MP,biosystems diversity,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Biosystems Diversity focuses on good-quality research, reporting scientifically sound observations and valid conclusions, which bring new and important information to the attention of the wider international scientific community.",https://ecology.dp.ua/index.php/ECO/aims-and-scope,NA,0.7
21:55.8,MP,biotropica,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,1.8
25:23.4,LC,bmc ecology and evolution,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,2.3
31:29.0,JP,bulletin of the american museum of natural history,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Bulletin of the American Museum of Natural History has been published continuously since 1881. It contains new discoveries in the field of natural sciences relating to zoology, paleontology, and geology.",https://bioone.org/journals/bulletin-of-the-american-museum-of-natural-history/author-guidelines,NA,5.1
44:39.2,LC,bulletin of the peabody museum of natural history,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,2.2
23:49.2,MP,chemistry and ecology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,1.3
17:36.1,MP,chemoecology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,1.6
49:49.4,LC,cladistics,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"publishes novel conceptual and empirical papers on systematics, including applications of cladistic methodology to medicine, linguistics and other fields.",https://onlinelibrary.wiley.com/page/journal/10960031/homepage/forauthors.html#ToC2,NA,3.9
54:10.8,MP,community ecology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,1.2
21:00.9,LC,compost science & utilization,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,2
05:35.7,LC,conservation biology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Conservation Biology welcomes submissions that develop new theory and methods, define key problems, and propose solutions",https://conbio.onlinelibrary.wiley.com/hub/journal/15231739/homepage/forauthors.html,NA,5.2
17:48.1,LC,conservation physiology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,2.6
39:14.8,MP,contemporary problems of ecology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,0.7
53:04.9,LC,current opinion in insect science,Out of scope for this journal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,5.8
07:50.1,MP,czech polar reports,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,0.5
58:26.3,MP,development genes and evolution,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,0.8
08:49.4,MP,diversity and distributions,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Submissions must derive novel insights from biogeographic patterns and processes and biodiversity status and trends. / What are the novel insights your manuscript provides into biogeographic patterns and processes, or on biodiversity status and trends?",https://onlinelibrary.wiley.com/page/journal/14724642/homepage/productinformation.html / https://onlinelibrary.wiley.com/page/journal/14724642/homepage/forauthors.html,NA,4.6
54:22.3,LC,diversity-basel,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,2.1
52:53.4,LC,eco mont-journal on protected mountain areas research,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,0.7
10:06.2,LC,ecography,Yes,About the journal (e.g. aims and scope),Manuscripts merely confirming or marginally extending results of previous work are unlikely to be considered in Ecography.,https://www.ecography.org/authors/aims-scope,NA,NA,No,NA,NA,Accept but discourage,Generally accepts,Yes,"ECOGRAPHY publishes exciting, novel, and important articles that significantly advance understanding of ecological or biodiversity patterns in space or time.",https://www.ecography.org/authors/aims-scope,NA,5.4
07:51.6,MP,ecohydrology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,2.5
24:02.2,LC,ecohydrology & hydrobiology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,2.7
30:21.8,LC,ecologia aplicada,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Built in,0.4
13:15.1,MP,ecological applications,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,4.3
09:11.7,LC,ecological complexity,Yes,Journal Author instructions/guidelines,"[they ask that the cover letter address] What is the rationale for asking the question above?

[One acceptable option being] Testing the hypothesis is crucial (reconciling contradictory results, confirming validity of some tenets of theory or commonly accepted premises, or other reasons)",https://www.sciencedirect.com/journal/ecological-complexity/publish/guide-for-authors,NA,NA,No,NA,NA,Accept with neutral/no position,Generally accepts,Yes,"In the spirit of the above table, the cover letter and the paper should state clearly: 
Novelty, at least one of:

solves a problem,

identifies a new problem,

uncovers links among separate concepts,

simplifies a complex issue,

adds eye-opening overview,

adds a new angle to a common concern/approach",https://www.sciencedirect.com/journal/ecological-complexity/publish/guide-for-authors,NA,3.1
22:27.3,MP,ecological economics,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,6.6
19:58.6,LC,ecological engineering,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Descriptions of specific applications of ecological engineering are acceptable only when situated within context of adding novelty to current research and emphasizing ecosystem restoration.,https://www.sciencedirect.com/journal/ecological-engineering/publish/guide-for-authors,NA,3.9
35:28.9,LC,ecological informatics,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"It focuses on novel concepts and techniques for image- and genome-based monitoring and interpretation, sensor- and multimedia-based data acquisition, internet-based data archiving and sharing, data assimilation, modelling of ecological data, and uncertainty analysis.",https://www.sciencedirect.com/journal/ecological-informatics,NA,5.9
55:38.2,LC,ecological management & restoration,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,1.9
38:14.2,MP,ecological modelling,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Ecological Modelling publishes new mathematical models and systems analysis for describing ecological processes, and novel applications of models for environmental management. / Highlights are a short collection of bullet points that should capture the novel results of your research as well as any new methods used during your study.",NA,NA,2.6
21:37.7,LC,ecological monographs,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Ecological Monographs publishes comprehensive, integrative, and multifaceted papers representing major theoretical, empirical and/or methodological advances in the fields of ecology and evolution.",https://esajournals.onlinelibrary.wiley.com/hub/journal/15577015/author-guidelines#general-information,NA,7.1
55:27.4,MP,ecological processes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,4.6
30:02.4,LC,ecological questions,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,0.7
12:22.4,LC,ecological research,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Notes and insights
 Word limit. Up to ca. 4000 words excluding references
 Description. Articles reporting preliminary but novel findings from original research that offer valuable insights into ecology.",https://esj-journals.onlinelibrary.wiley.com/hub/journal/14401703/homepage/forauthors,NA,1.7
43:20.1,LC,ecological restoration,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,2.3
49:59.9,MP,ecological solutions and evidence,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,2.6
13:36.5,LC,ecologies,Yes,Journal Author instructions/guidelines,"Title: The title of your manuscript should be concise, specific and relevant. It should identify if the study reports (human or animal) trial data, or is a systematic review, meta-analysis or replication study.",https://www.mdpi.com/journal/ecologies/instructions,NA,NA,Yes,Accept with neutral/no position,Generally accepts,NA,NA,No,NA,NA,NA,1.7
39:00.6,LC,ecology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,4.4
30:44.3,MP,ecology and evolution,Yes,Journal Author instructions/guidelines,"Replication Experiments

Applying an experiment that was informative for another species to a new species results in great science, as it allows us to compare the results of the new study to previous iterations of the experiment—one study acts as context for the other. This approach often results in a series of papers from a research group. At Ecology and Evolution, we wish to foster reproducibility by asking authors of replicated experiments to fully reference the original iteration of their experiment. We also strongly suggest that authors number such papers (e.g. “The Effects of Climate Change on Food Production: study 1, Tomatoes,” and “The Effects of Climate Change on Food Production: study 2, Potatoes”) to help highlight the similarities and differences discovered during series work.",https://onlinelibrary.wiley.com/page/journal/20457758/homepage/forauthors.html,NA,NA,Yes,Accept and encourage,Generally accepts,NA,NA,No,NA,NA,NA,2.3
21:37.4,LC,ecology and society,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"The journal seeks papers that are novel, integrative, and written in a way that is accessible to a wide audience that includes scientists and practitioners, from an array of disciplines from the natural sciences, social sciences, and the humanities concerned with the relationship between society and the life-supporting ecosystems on which human well-being ultimately depends.",https://ecologyandsociety.org/policies/,NA,3.6
36:15.7,MP,ecology letters,Yes,"Journal Author instructions/guidelines, About the journal (e.g. aims and scope)",We discourage purely descriptive papers and those merely confirming or extending results of previous work.,https://onlinelibrary.wiley.com/page/journal/14610248/homepage/productinformation.html,NA,NA,No,NA,NA,Accept but discourage,Generally accepts,Yes,"Ecology Letters is a forum for the very rapid publication of the most novel research in ecology. / Perspectives: novel essays for a general audience / Please note that at initial submission we still do require, for all manuscripts regardless of the format style, a novelty statement, a cover letter, and a title page including an authorship statement, a data statement, the number of words in abstract/main text and the number of figure/table/boxes. / Proposals should be no more than 300 words long, describe the nature and novelty of the work, and the contribution of the proposed article to the discipline. / The review criteria is based on the novelty and importance of the method. / Ecology Letters is particularly interested in novel essays expressing new perspective that will appeal to a wide ecological audience. / There is the same expectation for the novelty of Perspective as for Letter. / Synthesis articles are expected to be of broad interest to the readership of Ecology Letters, should focus on novel principles emerging over the past several years, and should include critical evaluation, synthesis, and/or prospects for future research directions. / The covering letter to the Editorial Office should succinctly describe why the enclosed work is novel, exciting and of general interest in ecology. Additionally, the covering letter should include a clear statement of exactly how the present manuscript is outstandingly novel relative to recent work by the author or coauthors cited in the present submission.",https://onlinelibrary.wiley.com/page/journal/14610248/homepage/productinformation.html / https://onlinelibrary.wiley.com/page/journal/14610248/homepage/forauthors.html,NA,7.6
10:53.9,MP,ecoscience,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,1.3
41:50.4,LC,ecosistemas,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Built-in,0.8
55:41.7,LC,ecosphere,Yes,About the journal (e.g. aims and scope),"Through our diverse subject tracks, we publish research relating to every area of ecology — including confirmatory and innovative research.",https://esajournals.onlinelibrary.wiley.com/journal/21508925,NA,NA,No,NA,NA,Accept with neutral/no position,Generally accepts,No,NA,NA,NA,2.7
35:06.5,LC,ecosystem health and sustainability,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,4.2
22:04.1,LC,ecosystem services,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,6.1
07:59.1,LC,ecosystems,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,3.4
03:06.1,LC,ecosystems and people,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Research Papers are full-length articles that contain new and significant findings. The word count should be more than 4000 and no more than 8000 words.,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tbsm22,NA,3.5
26:16.8,LC,ecotoxicology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,2.5
22:34.4,MP,environmental biology of fishes,Yes,Journal Author instructions/guidelines,"The journal will not consider submissions of limited international interest or lacking a substantial impact. In addition, papers that merely comprise data collections based on the use of routine analytical methods are not acceptable. Repetition of already published knowledge, simply applied to the local level, will not be considered, nor will papers that do not highlight and explain clearly the new science versus the current knowledge.",https://link.springer.com/journal/10641/submission-guidelines,NA,NA,No,NA,NA,Not accept,NA,Yes,"Original Papers are original manuscripts that contain new findings in research consistent with the Journal’s aims and scope.

This would include, but is not limited to, new research findings in the fields of ecology, life history, epigenetics, behavior, physiology, morphology and evolution of marine and freshwater fishes. Original Papers can include the presentation of new hypotheses and experiments, concepts or theories, development of innovative experimental or numerical methods, or novel applications of existing methods and models, as well as research exploring the relationship between fishes and their external and internal environments.",https://link.springer.com/journal/10641/submission-guidelines,NA,1.4
55:07.1,LC,european journal of soil biology,Yes,"Journal Author instructions/guidelines, Accepted article types","Manuscripts must contain high-quality results with novelty in the field. However, we also welcome confirmatory studies that study any aspects of soil biology that are relevant to test and validate the importance of soil biodiversity.",https://www.sciencedirect.com/journal/european-journal-of-soil-biology/publish/guide-for-authors,NA,NA,No,NA,NA,Accept and encourage,Generally accepts,Yes,"Manuscripts must contain high-quality results with novelty in the field. However, we also welcome confirmatory studies that study any aspects of soil biology that are relevant to test and validate the importance of soil biodiversity.",https://www.sciencedirect.com/journal/european-journal-of-soil-biology/publish/guide-for-authors,NA,3.7
28:50.9,LC,european journal of wildlife research,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Original Papers must present scientific results that are essentially new and that have not been published or are not being considered for publication elsewhere. / Reviews should cover a topic of current interest and present novel insights or conclusions. / Short Communications should also report novel results. / Technical Notes should describe novel techniques or methodological improvements for wildlife research in a broad sense, including molecular methods, remote surveillance, monitoring, capture and sampling methods, diagnostic tests, etc.",https://link.springer.com/journal/10344/submission-guidelines,NA,1.8
46:21.3,LC,evodevo,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,4.1
32:42.6,MP,evolution,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,We particularly encourage Insights that demonstrate ways in which new observations or methods can pose or answer novel or previously intractable questions. / Demonstrating a well-established phenomenon in another taxon or context may fall short of being acceptable for the Journal.,https://academic.oup.com/evolut/pages/general-instructions,NA,3.1
33:12.5,LC,evolution & development,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,2.6
58:47.5,LC,evolution letters,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Evolution Letters publishes cutting-edge new research in all areas of evolutionary biology. Papers should demand rapid publication because they substantially advance the field, are of outstanding clarity and originality, or are of broad interest. Papers that introduce new analytical or methodological frameworks that are likely to be highly influential will also be considered.",https://academic.oup.com/evlett/pages/general-instructions#Scope,NA,3.8
22:41.9,LC,evolution medicine and public health,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"To be considered for publication in EMPH , manuscripts must represent a substantial advance in terms of originality, relevance and timeliness.",https://academic.oup.com/emph/pages/Scope_And_Purpose,NA,3.3
23:47.5,LC,evolutionary applications,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Original articles - these papers report novel research projects that yield valuable insights into topics within our coverage.,https://onlinelibrary.wiley.com/page/journal/17524571/homepage/forauthors.html,NA,3.5
51:02.2,LC,evolutionary bioinformatics,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Research Articles should present novel work within the scope of the journal which represents an important advancement in knowledge or understanding.,https://journals.sagepub.com/author-instructions/EVB,NA,1.7
20:19.5,MP,evolutionary biology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"Authors are encouraged to submit papers presenting novel conceptual frameworks or major challenges to accepted ideas. / These reviews will define the direction of a field, build conceptual links between disciplines, or present novel conceptual frameworks within fields. They are not simple reviews in that a central argument or novel idea is essential in each paper.",https://link.springer.com/journal/11692/aims-and-scope / https://link.springer.com/journal/11692/submission-guidelines,NA,1.9
53:27.0,LC,evolutionary ecology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Evolutionary Ecology seeks papers with a clear novelty. They should yield new insights into the effects of ecology on evolutionary processes and/or the effects of evolution on ecological processes. By ecology it is meant the interactions between organisms and their environment. The best papers should pose a new and significant problem (with empirical evidence) and change the way people think about the topic of the paper.,https://link.springer.com/journal/10682/aims-and-scope,NA,1.8
49:13.8,MP,evolutionary human sciences,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,2.2
00:11.4,MP,fire ecology,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,3.6
01:22.3,LC,fire-switzerland,Yes,Journal Author instructions/guidelines,"Title: The title of your manuscript should be concise, specific and relevant. It should identify if the study reports (human or animal) trial data, or is a systematic review, meta-analysis or replication study.",http://mdpi.com/journal/fire/instructions,NA,NA,Yes,Accept with neutral/no position,Generally accepts,NA,NA,No,NA,NA,NA,3
31:54.6,LC,flora,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,1.7
28:44.5,LC,folia oecologica,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,0.9
